 诺基亚5230	 2013-04-17 230903	 省电，相对安卓。然后就没了。。。。	 好慢，扫描500多首歌用了10分钟。。。我去，软件安装也慢，反正一个字，慢。但是考虑到400mhz的U达到这样的水平我应该写到优点里去吧，	 诺基亚放弃塞班真不明智，塞班继续改改，还是能够非常好用的，可惜现在诺基亚越来越烂了
 苹果iPhone 5（32GB）	 2013-04-03 175238	 1、很轻很薄，手感不错。2、无论是屏幕还是处理器，充电能力，还是摄像头都很有进步。3、外观很好看，特别是我的白色。	 1、铝合金变形，郁闷啊，摔了还是碰了，就要变形。2、电池虽然有进步，但是依然一直使用就持续时间就4~6小时。3、SIRI功能还不太完善，需要优化。	 总得来说不错，就是容易变形，这是软肋。关于乔布斯走了，所有品牌在网上对苹果的抨击，质量，国产质量哪个比得过苹果？售后，国产的售后比苹果好很多？对于这些抨击，一笑而过。
 苹果iPhone 5（32GB）	 2013-04-02 232024	 没有任何创新，还卖这么贵	 用了几天黑色64GiPhone5后出现了如下几个问题：1.新机拿到手就有瑕疵，有磨损。但是至今还未掉漆（裸奔）2.i5上appstore和在appstore下载极慢，虽然和4S一样接国外服务器但4S好很多。（解决方法改dns）3.耳机和接口在同一侧，戴耳机又充电的时候玩游戏很不好拿。4.拍照确实出现比较严重的紫光现象。	 乔布斯不再。
 苹果iPhone 5（32GB）	 2013-04-02 110151	 使用到现在优点很少，唯一的优点，就是摄像头还可以。	 一大堆，1.电池啊~~~~太不经用了~~~~                 2.屏幕还有一点小小的漏光，是霸气侧漏？还是春光乍现啊？无语。                 3.连接iTunes，我靠~~比zune还难。                4.地图不说了，大家都知道。                5.又花了，屏幕不耐刮。	 以后再也不买了，只能无视~
 苹果iPhone 5（32GB）	 2013-04-01 233731	 优点已经让网友说的都差不多了，不过耳机音质确实挺棒的，机身漂亮，像素也挺好的。iphone5的系统挺快的。我很喜欢	 如果对手机没有特别大要求的的话5还是值得够买的。有些人总是看它的缺点，我认为够自己用就足够了，没有一个产品是十全十美的，换言之优点还是大于缺点的，可能我对手机没有那么高的要求，故对手机的概念没那么多的挑剔。不过siri识别度不高，这个问题确实存在，但是wifi迟缓之类的个人觉得用的还可以，没有像别的网友说的特别慢。如果对特别喜欢玩游戏的人来说，5不越狱是玩不了的。可以建议买别的机器。	 总而言之iphone5还是一部值得购买的手机，价格方面是有些昂贵。各方面性能相比较来说还不错。仁者见仁智者见者吧，每个人对手机的需求不一样，相比较而言，有些想法和不满是很正常的。因人而异吧。在这里并不是说5有多好，只是每个人的情况不一样。需求也相对而言会稍有差别。
 苹果iPhone 5（32GB）	 2013-03-31 001544	 A6芯片、大型游戏没压力！其他的跟4s一样！	 这个就多了！越狱后天气打不开，不能视频通话，苹果第一方软件就是个麻烦，要ID帐号，申请帐号到步骤输入邮箱时我用QQ邮箱它居然说我的邮箱不存在！无语了！苹果商店进去要一两分钟，特慢！又时候解锁太快它会卡住，卡个30秒钟！黑色手机被硬物轻轻碰到就会掉漆，QQ不能后台运行，SIM卡剪卡器没的买，要带到专卖店去剪，我是用剪刀剪的，呵呵	 之前一直羡慕苹果，想拥有一部所以才买的，结果太令我失望了！
 苹果iPhone 5（32GB）	 2013-03-30 191602	 速度快，像素高，配置不错，玩游戏流畅	 不能通过复制粘贴的方式下载东西，确实蛋疼，连接iTunes不知道为什么我的无法连接，越狱不稳定，在安卓上免费的游戏在苹果上全部收费，贵啊	 乔帮主死的可惜啊
 苹果iPhone 5（32GB）	 2013-03-28 124534	 屏幕呢，还可以，不大不小，够清晰的，用电呢我觉得还好吧，也不会像那些人说的那样不给力，我早上充满，上班时就上上网，看看时间，到中午呢还剩９２呢，下午又听了一个下午的音乐，晚上还玩玩游戏，到一两点的时候还剩１５的电呢！拍照呢，真没的说，我拿魅族ＭＸ２比过，真的和苹果差远了，ＣＰＵ也好，运行的够流畅的。。。	 蓝牙和别的手机配对不了，语音不是很满意，有很多东西识别不出来，好像那个３Ｄ地图也不行，听说在中国不行，感觉好像没安卓的好用，就是简单很多东西要设置的都很麻烦，安卓的人家在主页都可以设置了，听说掉漆？我看看也不像啊，全是铝合金的哪有什么漆哦，不过我刚买才几天，还不知道会不会呢	 感觉还很满意吧，够面子，就是觉得好像也没有广告那么好，功能呢好像都没什么，玩了几天好像都没劲了
 苹果iPhone 5（32GB）	 2013-03-27 194423	 长得很好看。很精致。  屏幕显示挺好的。比我以前的摩托罗拉XT883好多了。屏幕比较清爽，图标比较大。第一次用IOS系统感觉还是比较不错。系统很流畅。硬件方面也很好。A6处理器+SGX543MP3+1GB RAM大型游戏无压力。不过游戏主要还是优化重要，IOS在这方面就做的比安卓要好一些。摄像头非常好，没有碰到什么紫色光圈的问题充电非常快，电池我觉得还挺经用的，不是经常玩的话续航三天应该没有问题。	 siri 识别率不是很高，吵闹的地方用不了。处理器应该上四核啦，三星八核都搞出来了。铝合金机身易磨损不够开源，很多软件都收钱。但是越狱之后听说很不稳定，让我很纠结。从电脑上同步媒体文件非要用itunes，个人喜欢安卓那种直接复制粘贴就完成的感觉。	 听说iphone5很好所以抛弃了曾今的高端机 xt883,iphone5还是有很多需要改进的地方，但是总体上比较不错。
 苹果iPhone 5（32GB）	 2013-03-27 105220	 机身挺薄。	 用了一个多月，就已经出现问题了，我的是白色的小5，掉漆问题倒是还没出现。就是打开照相功能的时候，屏幕有时候会出现紫粉色的竖型条纹。有的时候甚至打不开相机功能。玩一些应用程序，会存在闪退的现象。最愁人的是没越狱，没有好的输入法，打字真心累，好不习惯的。	 喜欢的朋友还是可以购买的。
 苹果iPhone 5（32GB）	 2013-03-26 211304	 iPhone4s到iPhone5的升级不大.除了A6处理器.1G主频.色彩鲜艳点.4G网络以外并没有太大的升级.外观不好看了.没有以前的质感了.其实这里想说一下.有喜欢轻的.有喜欢重的.就像吃饭.有咸有淡.个人觉得外观要强于4s.苹果除了1代以外.2代到5代我都用过.个人感觉2.3代质感不是那么强烈.而4.4s增强了这点.而5代又改进了一点.在竞技这方面.总是前进的多.后退的少.所以说iPhone5的外观升级还是很乐观的. 4寸的屏幕是正好的.太大了一个手弄不好.太小看电影都不舒服.	 不过分辨率有点失望. iPhone5并没有加宽.而是加长了一部分.使得很多软件.游戏不兼容. 而据新闻报道.iPhone5只是iPhone5s的过度手机.iPhone5由于系统不稳定.小毛病平凡发生的原因.成为了历代iPhone手机总最短命的手机.黑色掉漆.白色用时间长了屏幕发黄.由于手机变薄.变轻.放在屁股兜很容易压弯.	 话不多说.如果没有入手iPhone手机正想入手的.希望观之.期待5s的到来.5代的大毛病没有.小毛病很多吧.呵呵.总体来说还可以.关键靠的就是ios系统.
 苹果iPhone 5（32GB）	 2013-03-26 012704	 ▲富士康的做工很好好（我的是白色机）！但手感一般（比4S的使用手感差，就是因为那个大长脸！）~不过整机看起来让人心情挺好的~▲信号好▲系统整体比较流畅，但是偶尔还是有卡顿（一个月也就三五次吧）、死机（一个月有一次死机情况，屏幕不动了）~IOS很难让人觉察到系统的存在，只有一个手机框架、一个设置，剩下的就是众多的应用~~~很干脆！▲屏幕的可视角度比较大，各个角度看显示效果都没有偏色情况，看着这块屏幕心里挺舒服的~阳光下的可视也非常好！▲正常使用（接打电话、短信、偶尔上网）电池续航两天，玩游戏的话两个小时三分之一左右的电吧~电池还算不错！▲拍照在手机当中数一数二！整体效果还不错~日常生活挺得心应手的！	 首先阐明：这次点评只针对没越狱的机子~~~其一，我不敢越狱~~~生怕这么贵的机器被我弄坏一点~其次，越狱以后就不保修了~所以那些越狱以后把这部手机玩的出神入化的不在本次讨论中~▲悬浮屏，夸夸其谈~其实就是显示屏离屏幕表面的距离比从前那些的手机屏近一些而已，没有人们口若悬河的说的那么夸张~感觉和普通手机的显示效果差不多，离屏幕表面还是有距离的~其实这个设计相比其他手机确实好，只是没有那么夸张！▲那个视网膜屏幕~我都可以看到网点，虽然平时操作不太留意，但是仔细看就可以看见~（这一点我不想解释，估计很多人会拍砖，不信拉倒吧~）▲苹果的这个APP商店做的着实垃圾啊~很多常用还有我期待着能第一时间找到的应用、游戏几乎都找不着！最后挨个在搜索框里搜出来的。这一点相较安卓，差太多了！！！以至于我感觉安卓的软件数量和质量比苹果强好多！！！很多安卓上有的游戏，苹果都没有~▲关于APP的收费问题，我单独列出来了。非常多在安卓上完全免费的软件，在苹果上统统收费，基本都是6元起价~就算能用（玩）的，不掏钱也只给你试玩、或者只可以用（玩）部分功能。▲用户对系统的可定制度 低~▲语音鸡肋！根本听不懂人	 概括来讲▲这是一部好手机~▲乔布斯创造了这样一个神话，在下很是佩服！▲系统坚固！霸道！简洁！流畅！高效~适合商务人士、女生、老人还有不怎么折腾手机的各类人群！（越狱的不做讨论）最后，我还是想说，这部手机并不适合我……我还是喜欢安卓！▲苹果只有程序界面，没有二级菜单（主页）。主页是我使用手机的一大灵魂区域！~所以苹果太单调了、有些厌烦！▲输入法无法更换！头大~▲不支持后台！虽然听歌、下软件什么可以后台，但是大部分程序依旧后台不了，仍然是伪后台。▲很多人都说苹果怎么好怎么好~当真实用过之后，其实也就那么回事~
 苹果iPhone 5（32GB）	 2013-03-25 191022	 iphone4是黑色的，不喜欢颜色所以换了白色的5，第一眼看是别扭，但是一天过后就不愿意看4了。我个人不怎么会用安卓系统，因为文件夹全是英文，有的看不懂，总是觉得手机有哪个角落我看不到似的~所以喜欢IOS的清爽，实在是非常顺手，超喜欢它的操作逻辑~简单贴心又有趣，和其他系统的操作方式比个人觉得更喜欢这种感觉，至于有人说用着麻烦数据传输不方便，我觉得那纯是个人看法，会用的话觉得那种专属感非常好，心里踏实安全。做工就不用说了，细致到家，就是真心喜欢，不是为了追什么东西。	 铝合金的边框质感很好，但是耐用不如4的不锈钢，白色不会掉漆，但是磕到会出坑，所以需要细心保护，粗心大意的机友要考虑好了，我看过坑坑洼洼的小5，好可怜的说~不过塑料钢琴烤漆也会掉漆哦~摔过也是一道道划痕滴~	 说实话，续航这个，经常充电已经习惯了，不越狱换电话铃声其实不难，有耐心可以打造自己喜欢的铃音！掉漆问题就要自己保护好了，不管怎么说喜欢就都能克服，不喜欢就买别的喽~
 苹果iPhone 5（32GB）	 2013-03-25 190259	 运行很流畅，毫无卡顿，外形也不错，白色的 ，没有发现掉漆。而且见别人说下软件麻烦，我感觉挺简单的，可以用第三方软件。比如快用苹果助手。91等，下东西超方便，跟安卓下软件一样。而且都是免费的。总体来说。入手后挺满意的	 就是电池不耐用。要是电池续航能力提高就好了	 不错的手机。
 苹果iPhone 5（32GB）	 2013-03-25 163348	 总体来说，这部手机买了有它的价值。我买的港行，2200元一部，绝对全新，因为自己懂，验证过的，加了卡贴，可以支持3网通，本人用的是电信号码，信号一点都不是个问题，特清晰电池特耐用，充满电，放上10个小时还是100%之前看了很多论坛都说什么不耐久等等问题，自己用了才知道，原来社会上很多人买了翻新的机子，电池给人偷换了等等才出现的问题，自己买了2部特好用	 1，HOME键按多了容易坏 暂时也没什么谈得上缺点，手机做到这么精致，已经算可以了	 1，系统操作流畅，特容易上手 2，手感好，感觉拿着很高档 3，用一只手几可以完全操作到位，不比其他大屏幕，需要2只手上场 4，硬件配置性能高，屏幕分辨率高 5，个人喜欢，就是有个键，一关就全机操作起来无声音，特方便
 苹果iPhone 5（32GB）	 2013-03-22 155825	 1、好看，屏幕适合我这种手小的人。2、IOS整体感觉比安卓清爽，纯个人感觉。3、游戏软件、视频什么的运行都很流畅。4、siri语音不错，没事可以聊天玩。5、IOS游戏还是很多的，用安卓的时候换来换去就那几个游戏。6、信号、通话质量都不错，毕竟是手机，其他功能都是其次。7、电池对于我来说够用的，一般能达到15个小时待机时间。	 1、换个铃声真费劲。2、软件好点的就收费，当然可以越狱。3、主题也很单一，也只有越狱才能更换主题。	 以前用过三星5830，三星S3。单系统对比来说，还是苹果用着舒服顺手一点。不会出现安卓系统内存不足的缺点。照相嘛！特意和朋友Note2对比了一下苹果效果更真实，三星偏绚丽。但是毕竟是手机，真轮照相效果，和我仅仅2000元买的索尼WX170就已经不是一个级别了。至于掉漆问题，至今真没发现过。
 苹果iPhone 5（32GB）	 2013-03-22 154603	 港行4550买的，屏幕色彩还原比分4S要好，感觉艳丽一点，联通3G上网很快，前后镜头白天拍照都是非常的不错，做工很好，非常有手感，不过有点轻，我用的白色没掉漆，开了3G上网的话5到8个小时之间，待机我试过，什么都不玩可以2天加一个早上，4寸的屏刚刚好，没越狱，看电影用的AVplayer播放器，我用苹果机没有别人说的那么麻烦，看到别人说的怎么那么麻烦不会用呢，我表示无压力，同事用的4s，至于外形对比，我还是认为见仁见智了	 有一点，价格比较贵，叫黑的人可以死劲的黑，也可以用其它的手机拼命的做对比。还有就是不能用外置内存卡，电池再大点就好	 看上就买，这年头谁还买不起苹果，最少现在就有很多手机价格已经超过苹果了，至少苹果机你不喜欢用了，想换其它机子还可以卖的出很好的价格，好吧就说这么多了，其它懒得说了，浪费时间了太多
 苹果iPhone 5（32GB）	 2013-03-21 020926	 性能相对4s来说提高了	 屏幕太大了，3.5的屏幕已经够了，没必要扩大为4.0，谁说一定要赶上大屏潮流，屏幕大未必是好事，手机手机就是要能单手操控的机子。掉漆又是新问题摄像头的像素没有提高home键没有取消电源键安放位置不正确个人认为外观不去4s	 苹果总是输在细节，IOS不是安卓，没必要一个劲的提升屏幕，还有分辨率，做最真实的自己最好。
 苹果iPhone 5（32GB）	 2013-03-18 173101	 照相效果好，电池不发热，屏幕好看。	 太折腾人了，没九宫格没模糊音，光弄个输入法就必须越狱，折腾折腾折腾折腾。	 安卓机太便捷了，用惯了安卓的千万不要换苹果，否则会极其失望和后悔。
 苹果iPhone 5（32GB）	 2013-03-18 084846	 流畅度非常很好，系统方面直接对比了S3 7100 S4直接可以秒杀他们了，什么4核8核还是16核,我感觉系统优化不好再多的核也是卡顿,亮点就是多个麦克免提通话很清晰了,感觉如果是手机4寸刚好,太大了装口袋布舒服,除非你是放包里经常出差,现在手机解锁了，哈哈6.0.2系统三网通,	 因为是第一批机器,拿到手的时候有点掉漆,第一批质量杠杆的,戴个壳子没什么问题,我觉得别人说的缺点都可以忽略,什么电子书看不了 价格太贵 WIFI 什么的 用脑子想想为什么有人没有这些问题 是不是自己不会玩!	 总体感觉很好,SIRI不错,大家可以说附近的休闲中心,答案包你满意,哈哈,最后希望苹果加强创新意识，不要停滞不前!
 苹果iPhone 5（32GB）	 2013-03-16 115344	 爱疯4丢了，在苹果官网订购了5，照相功能比4要强悍也多，耳机效果也超好，使用整体都不错，使用一周，未出现WIFI断网现象，也未出现掉漆现象。我的是白色的。	 在使用五天的时候无聊玩微信摇一摇，发现手机晃动的声音很大，好像一大块什么东西击打手机壁，可能电池松动，我算是万分之一倒霉吧，联系客服换货，说要等20天，我申请了退货。	 还想买一个5，是真的喜欢，也非常好用。只是多了太多的担心，现在退款没打回来，在纠结是还买4呢，还是买5。。。
 苹果iPhone 5（32GB）	 2013-03-14 224823	 苹果的设计还是一流的，虽然5的造型被人诟病成也用加长型，不过细节见分晓，工业设计能力绝非一般啊。使用体验上，IOS没得说，不过ios6系统貌似毛病多多	 使用一段时间，发现IP5的wifi问题实在是头大，虽然刷到6.1.2不过wifi时断时续，虽然看似链接，实则已断。网上查看多说为系统问题。查了些解决方法，一是wifi路由器要把频道设为11二是频段设为20M。即可解决问题，还有说不设置密码，也可，没试过，不过wifi路由打开MAC地址过滤，想来不设密码也应该不成问题。	 整体感觉还是很棒的，建议打算上手的去实体店拿手里感受感受，图片是图片，体验是体验，不一样的。总体还好，就是wifi的问题比较惆怅，希望苹果对此问题进行一次修正。
 苹果iPhone 5（32GB）	 2013-03-13 231917	 入手一个星期了，感觉不大会用，很多操作不会弄，但是照相确实比其他手机好，和同事的4S，三星，华为，小米，做了简单对比那是相当明显，因为价钱摆在那里。玩大型3D游戏电池才会轻微发热，手感不错，电池续航能力可以接受，接打电话发信息不游戏基本一天半是足够的，打打游戏那一天一冲是必须的，品牌的力量是伟大的，同事的4S两年了平时游戏微信QQ什么的依旧是一天一冲，但是别的手机做不到吧。我们关注的更多的是续航，至于反应速度我想还是不用怀疑的，程序多了卡顿也有但是明显比其他品白的机器要小的多了，最喜欢连续按HOME键关闭所有后台..至于说掉漆，我的白色的所以没发现，通话质量很好，3麦设计免提很犀利	 1.输入法实在无语，手指太大，老点错2.蓝牙不能与别的手机互联3.手机太长，单手下拉通知有点难4.不支持TXT电子书，软件好贵买不起5.没有像4S后盖玻璃钢设计保护	 现在也有很多软件不用越狱就可以装了，没有很多使用麻烦了，总的来说价钱上是可以接受的，4S与5毋庸置疑应该选5..
 苹果iPhone 5（32GB）	 2013-03-12 210006	 ios系统操作流畅，拍照效果不错，iPhone5的Facetime功能再次得以加强，其前置摄像头也改用背照式感光元件，支持720P的视频录制，再加上iPhone5绝无仅有的三麦克风配置，视频通话体验将得到大大的升级。	 价格偏高，购买的有虚荣心比较强，所有就买了。wifi门事件，网上吵得沸沸扬扬，就是wifi连接的慢，有时候连接上了，但是自动断线了，还得再手动连接一遍。	 希望苹果加强创新意识，不要停滞不前
 苹果iPhone 5（32GB）	 2013-03-12 145026	 1：手机运行流畅，玩大型游戏什么的毫无压力！2：拍照效果更进一步，夜间拍照也不错！3：成像效果比4s更进一步，分辨率很清晰！4：机身变轻了，很舒服抓着！5：新耳机的效果很好！	 1：wifi会断，现在已经拿去售后检测了，不知道是不是手机原因！2：电池很不给力！3：地图有点坑爹	 本人用过Htc 13，16，21 ，ｏｎｅｘ。三星note系列以及s系列，还有诺基亚WP系统，最后还是觉得ios最给力，推荐iPhone！目前位置没有掉漆，也没有网上说的各种不好，反正我觉得手机大家喜欢就好，别人的观点那只是观点，不一定实际就这样，好不好还是自己用了才知道
 苹果iPhone 5（32GB）	 2013-03-12 103111	 功能强大并且大气，价格偏高，安全级别很好。虚荣心比较强，所有就买了。	 很多软件需要花钱来使用，无奈~~~有进灰和掉漆现象，电池使用效果极差，（不能换电池就搞个好点电源板），GPS导航信号平凡掉线（无语），使用时间一长手机发热（无语）	 性价比不错，贵有贵的道理，希望大家今后入手时注意聊友的们心得体会。个人建议入手价在三千元左右适中。
 苹果iPhone 5（32GB）	 2013-03-11 185819	 我现在用的是苹果5。5的夜间像素挺好的，手感也不错，玩游戏挺流畅的。反应也很灵敏。还有它的重量会轻点，没有4S那么重。也比4S薄点，	   5的性能跟手感来说的话我还是喜欢4S最起码4S大小刚刚好，4S也没有5那么矫情。一会这个用不了。一会那个黑屏。但是也不能完全没有用，5有时候会耍耍小脾气。点开的软件打开了会自动跳，就是进不去。有时候真的会很想发火	 中体来说有好也有坏。建议还是买苹果4S，最起码的话性价比会比5的好点，其他的就不用多说了，好多朋友们用过了。都发表了好多意见。我就算是来打酱油的吧、
 苹果iPhone 5（32GB）	 2013-03-11 012754	 照相还是不错的	 真的是体验了苹果手机 太难用了 打字没有九宫格的 花钱下载了个也不好用 蓝牙也传不了 女朋友们也都说不好用 永远不会再买苹果机子了 失望	 买了就后悔
 苹果iPhone 5（32GB）	 2013-03-10 091936	 ios系统流畅性是比较好的，然后软件质量也要高于安卓系统，屏幕色彩还原准确，让人看得很舒服，当然这与incell技术有着密切的关系，铝合金机身使得机器重量变得更轻了，也更美观	 屏幕尺寸还是有点偏小的，希望能做到4.3或者4.7尺寸就差不多了，再者苹果质量越来越让人揪心了，我买回来摄像头里面就有进灰现象，也没找售后解决，由于怕掉漆我也是买的白色的机器，结果还是有轻微的掉漆现象，再者ios6问题多多，接电话中断，说着说着就自己挂断了，其他朋友也有这样的现象，全景拍照时有时候也会有卡顿现象，画面不跟随手的移动..连拨号有时都会卡死...	 iPhone5总体还是让人满意的，但是ios6系统问题确实很让人揪心。希望后续版本能解决这些问题
 苹果iPhone 5（32GB）	 2013-03-10 021014	 系统！苹果的系统确确实实的好。操作方便，速度非常快。我之前用过3星Note，也用过几天朋友的HTC，目前感觉没有在系统、流畅、速度和操作性上可以和ip5媲美的机子，win8的920我也借朋友的划拉过一会，虽然很有新意，但流畅性和反应速度依然比不上ip5。尤其在玩大型游戏，像NBA2k13、狂野飙车7这类游戏时体现尤为突出。传感器没有丝毫延迟感。	 电池真的是不够用.....玩3d游戏3小时基本上就已经20%以下了。而且在玩3d游戏的时候，机身会热的吓人，感觉比4S还要热....铝制的边框简直可以用烫手来形容了...所以一直都不太敢玩的太久...因为机身变薄了，里面很多部件相比也比以前更加精致....怕长时间过热会出问题！	 外观我觉得很好，我喜欢这种简约的风格。至于掉漆...之前一直都戴套子，中间有过一个星期裸着，目前还没有掉漆现象。至于网上很多人说什么这不好那不好，甚至已经快把IP5贬的连山寨机都不如的现象..已经不想多说什么了。众所周知，中国的群众是世界上最容易受舆论影响和最没有自我主见的。所以在中国5毛党和一些人才会有那么大的市场。总而言之，东西好不好，自己亲眼看到的才是事实，其他的都是云雾。
 苹果iPhone 5（32GB）	 2013-03-09 165848	 1，各方面都超越4S；2，使用非常流畅，远远超越htc，三星什么的;3，ios系统用起来就是爽，管你什么性价比、大屏幕，相比之下android系统就是个吊丝系统。android的app都是抄ios的，却抄得很粗糙；4，屏幕刚合适，可以放衣服裤子荷包里；5，我黑色的，用了4个月了，上了套子，没有传说中的掉漆，一点都没有。求小米和三星的水军不要再来黑苹果了；6，听音乐超爽。	 性价比低。	 什么都刚合适
 苹果iPhone 5（32GB）	 2013-03-09 141844	 优点很多：轻薄便携，比4S薄了很多，手感不错；系统流程，玩游戏从没发生过卡顿现象，用了两个多月四级的情况貌似还没发生过；信号很好，至少比我之前用过的摩托罗拉好很多；分辨率什么的就不用说了，很好很强大；电池也给力，这得益于系统吧，一天接打个把小时电话不玩其他的待机48小时以上是完全没有问题的，玩游戏的话耗电就快了。	 每个产品都有其优缺点，优点大家可能都说的差不多，缺点因为个人爱好可能各有不同，我自己列出以下几点：1、屏幕小了点，感觉屏幕如果4.5的话就很好了，太大了又不便于携带；2、ios系统有太多封闭的地方，比如储存不能自由扩大，不能直接往手机里拷贝东西只能通过软件；2、另外就是采用推送式的后台用起来很不方便，比如在线下载东西的时候不能锁屏不能后台，QQ到时还好，及时休眠但是还能收到推送消息，魔兽远程聊天就不行了，后台就掉线，当然这也是ios流畅运行的一个秘诀；3、为啥子我的爱疯5在线缓冲视频的速度那么慢，其实手机可以流程看的iphone5总是时不时就要缓冲（使用同意wifi的情况下）；4、苹果确实有点贵，利润太高	 总的来说，爱疯5是款非常不错的手机，外观时尚，系统流畅，软件的品质和数量都很高很多。
 苹果iPhone 5（32GB）	 2013-03-08 200341	 外观漂亮 系统流畅 比安卓强多了入手一个月 也无发现掉漆现象IOS仍然是最好的手机系统	 SIRI没想象中强大电脑下的东西无法同步 貌似是系统问题WIFI有时候 连不上	 总体而言 比920要强大很多的当初在这两款纠结了很久
 苹果iPhone 5（32GB）	 2013-03-07 100428	 最开始用的是塞班，然后用的是摩托罗拉的里程碑，十天前入手了5，4500，托朋友从香港带回来的，白色，说实话，在比较了安卓和塞班后，ios的流畅度真的是好，用起来一点也不卡，运行一些大型游戏也很赞，掉漆和紫光问题也没有碰到，总的来说还是不错的！	 碰到了wifi会掉线，看了看网上的评论好像这是一个通病，试了网上说的几种解决方法都没有用，说是ios6的系统问题，可我都升到了6.1.2啦，不明白，希望ios系统再升级的时候能解决这个问题吧，这也是唯一的一点美中不足吧	 总体来说iphone5是一部很不错的手机，外观漂亮，性能也强大，但是wifi的这个问题让我很蛋疼，我也不是什么果粉，买5也只是为了自己能用的舒服，写这个评论也就是想说一下wifi的问题，看看zol上的各位大神能不能给到小弟一些好的建议，如果能解决这个wifi问题，那真的是感激不尽了！
 苹果iPhone 5（32GB）	 2013-03-06 140055	 iOS还是很流畅。以前的苹果有的一切优点基本都有了吧，然后细长的屏幕个人认为比三棒子宽大的拿着舒服点。越狱以后要什么都有了。	 掉漆，wifi连不上，耗电大这些我全都遇上了……刚买的时候为了薄点的质感没戴套，背后掉了一圈漆了…不过不是很明显。wifi连着很费力，经常请求不到数据…然后就是电量，拿手机打发一整天的话曾经试过一天三充…然后6.1.1的系统有一段时间非常非常卡，触摸屏还不灵了…升级6.1.2解决了。有的程序还是会闪退	 总体还好吧，没有第一次用上4S的时候的那种舒适感……
 苹果iPhone 5（32GB）	 2013-03-03 203417	 轻薄舒适，手感极佳。屏幕尺寸刚好。速度快，siri很好玩。电池一般应用可以撑两天没问题。音质较以前有很大提升，低音也不错充电速度也很快，新的闪电接口双面都能用很方便。网上说的缺点我都没遇到，包括掉漆，电池不耐用，wifi连不上，漏光等。感觉很多人故意黑苹果	 目前感觉唯一的缺点是照片照出来是4；3的，感觉很别扭	 相当不错的手机，较上一代有很大提升，但是外观改变不大
 苹果iPhone 5（32GB）	 2013-03-01 222424	 不知道为什么 明明配置没有安卓的高 但用起来就是特别流畅  用了苹果再用安卓会特别不习惯	 app商店下载东西比蜗牛还慢  我买的白色的不知会不会掉漆     手机摇晃听筒那部位不知道具体是哪里有像零件脱落的声音 不知道是怎么回事	 乔布斯走了 iPhone从艺术品变成商品了  艺术品我能容忍它的瑕疵 但是商品…
 苹果iPhone 5（32GB）	 2013-02-28 224535	 重量很轻，我都有些意外，机身厚度和普通USB数据线头差不多，很有质感；我的是白色，白色背壳就是阳极氧化铝的本色没有漆的，和iPad后壳一样的材质，所以白色用不着担心掉漆。用起来还是一如既往的流畅，打开同一款游戏快过4S0.5到1秒。屏幕变成16：9了，刚开始有些不适应，现在反倒看不惯4S3：2的屏了。摄像头虽然还是800万级别，比较了下夜拍比4S强。earpods耳机音质加强了低音，比以前龌龊的小白好多了。app大部分已经更新支持i5的屏幕比例了，苹果的app质量数量都没得说。	 比mini sim还要小的nano sim确实蛋疼，懒得去营业厅换卡，直接用剪卡器剪连sim卡的金属一块剪掉了一圈，居然还能用。氧化铝材质软，尤其是斜切面的金属边，随便一碰就能留个疤，必须带个套。ios返回键都在左上角，拉长的屏幕不好够了。	 使用简单还是iOS的特点，中文siri很好玩，有时候想调戏她一下反被她调戏了。本人有个新发现，插入耳机后打开相机，可以直接按线控的音量键拍照，这个嘛你懂的，记得关了闪光灯啊！别怪哥没提醒。
 苹果iPhone 5（32GB）	 2013-02-28 221157	 屏幕比4S大了。白色也漂亮。苹果系统，用起来毕竟比安卓系统快。我也不玩什么游戏，，用着感觉不错。就是过年后涨价的时候入手，4650.有点不划算。。。我同学好多用了没有掉漆现象。。。平时多注意，不要碰到摔到就好	 我的5wifi有时会有断网的现象。。。锁屏后一段时间会自动断掉无线切换到2G网络，只要解锁或亮一下屏幕就自动连上了。对于这现象，只要把蜂窝数据关掉就不会断无线，，我试过了，另外两个同学一个国行一个美版的就没那现象 另外，手机播放QQ音乐，点进人人就会暂停歌曲。把人人后台退了，重新进，歌就不会暂停，，，目前还不知道为什么，软件都卸载过了。。同学没那现象。。。这些小问题虽然有点心理不舒服，但是不影响使用。。。总体还是觉得可以的	 总体满意。。。想买的就出手买吧，也别等降价了。先买先用，，也别担心什么掉漆不掉漆的。。。反正周围那么多个5没有掉漆现象。
 苹果iPhone 5（32GB）	 2013-02-27 134238	 漂亮 有金属感 有质感 大小正好 系统好 屏幕清晰度高 触感反应快 耳机特别 唱吧录歌好用 玩游戏快 白色不掉漆	 来电声还可以大点 接通最好有震动模式 输入法词组偏少 要自己设	 我以前是HTCG11 用的时候觉得真不错 安卓系统 屏幕清晰 上网速度快 机身漂亮 换了苹果5之后才知道什么是区别 个人最明显的区别有3个 1 看电影 HTC看1个小时眼睛疼 用苹果看眼睛不疼 2 触屏的反应 前者比后者慢半拍 苹果特别快特别灵敏 3系统 苹果系统确实比一般的系统要好用和安全 以上都是个人观点 句句属实 仅供参考 另外我是用HTC的老款比苹果新款 HTC 也还是不错的
